likes,comment_count,mediatype,media_id,follower_count
1783564,7268,8,3184584834360324341_325734299,215730317
620329,3190,1,3181565069540120223_325734299,215730317
793206,3635,1,3179480052828369704_325734299,215730317
1003266,4436,2,3178103725202007004_325734299,215730317
1522312,12975,2,3177350780097374852_325734299,215730317
3389243,37621,2,3176899718999657425_325734299,215730317
1227764,14698,2,3176534187066893136_325734299,215730317
593988,2909,2,3175814952321607453_325734299,215730317
752572,5326,8,3175087632789823809_325734299,215730317
4089488,202,1,3207534153154811191_14455831,144410632
1256422,43,1,3229230054319431225_14455831,144410632
2789880,91,8,3224571592415318576_14455831,144410632
1766102,54,8,3221690692182655061_14455831,144410632
1771039,118,1,3221079776915118281_14455831,144410632
2377327,148,1,3215106091167488947_14455831,144410632
2029226,206,2,3214442638090043114_14455831,144410632
286375,19,1,3214318491942808792_14455831,144410632
816320,23,1,3212385651206438186_14455831,144410632
1653110,59,8,3211833201131088094_14455831,144410632
1241571,83,8,3210053913654360473_14455831,144410632
854951,42,8,3210052552334361945_14455831,144410632
816881,46,8,3210051614781501188_14455831,144410632
414831,21,1,3210051174178350988_14455831,144410632
1449692,82,8,3209520897811198307_14455831,144410632
1903220,52,8,3209364555003721003_14455831,144410632
1446575,63,8,3209013656251206673_14455831,144410632
1214058,72,8,3208991457972752539_14455831,144410632
2792102,59,8,3208189813022441749_14455831,144410632
1004358,67,2,3208135769272636482_14455831,144410632
610076,4898,8,3222367884583567157_3255807,42470202
194675,1238,8,3220769748745061738_3255807,42470202
185871,688,1,3212051537605146017_884636767,489405
107340,675,8,3208748223304553715_3255807,42470202
255968,1067,8,3197526328643051139_3255807,42470202
190084,962,8,3196262194601461353_3255807,42470202
331070,1368,8,3195649576731771384_3255807,42470202
178850,1347,2,3192633438305382618_3255807,42470202
269032,1082,8,3188828094110173759_3255807,42470202
165803,840,2,3172199430187617678_3255807,42470202
235039,1305,8,3170072645970017706_3255807,42470202
605350,2936,8,3159170340487128263_3255807,42470202
142195,718,1,3154572164170464627_23962229,1265733
1022598,3837,8,3142394972514205518_3255807,42470202
133979,1165,2,3137539682880307461_4180389808,502647
269313,1432,8,3133945828527105146_3255807,42470202
792631,4748,8,3112773179134593117_3255807,42470202
632185,3619,2,3108563737016050886_3255807,42470202
113790,1179,2,3104058948597108347_3255807,42470202
561787,4365,2,3100585075725816310_3255807,42470202
76417,2061,1,3212716515694523779_184595688,27108507
196199,4895,2,3124294042242490454_184595688,27108507
47222,1349,1,3227273376267731266_184595688,27108507
53960,1857,1,3227213065883969505_184595688,27108507
28247,1123,1,3226006298546060943_184595688,27108507
34669,1216,1,3225762706581783172_184595688,27108507
206966,6589,2,3222165276653141723_184595688,27108507
93208,3293,1,3220690252595326386_184595688,27108507
34230,940,1,3217868242185898525_184595688,27108507
288008,5292,8,3217109456144014569_184595688,27108507
37202,664,1,3217067113017731197_184595688,27108507
30641,626,1,3215872012429821190_184595688,27108507
32778,536,1,3212833700790305685_184595688,27108507
54524,998,1,3212732469778529993_184595688,27108507
44938,644,1,3212101903651615042_184595688,27108507
166870,1671,1,3212031713408612834_184595688,27108507
51165,629,1,3211997173952793373_184595688,27108507
43400,1220,1,3210542559101431238_184595688,27108507
81468,1330,1,3207705337209620725_184595688,27108507
53398,895,1,3206949866572081009_184595688,27108507
